"Program","What It Is","Money Direction","Participant Pay or Cost 2026","Referral / Partner Economics","Location","Duration","Stage","Selectivity","Status 2026","Source"
"WWOOF Australia","Australian national WWOOF organization. Same model: farm labor ~4–6 hrs/day for room and board. Australia is one of the most popular WWOOF destinations for US gap-year travelers due to Working Holiday Visa (WHV) availability.","YOU PAY","WWOOF Australia membership: unverified exact 2026 fee (not listed in searched data — typically AUD $70–$80/year per historical data). Flights USA–Australia: $1,000–$1,600 return. Working Holiday Visa: AUD $635 (mandatory for non-tourists working). All-in first year cost: approximately $2,000–$2,500+. Classify as YOU PAY once flights and visa are totaled.","None.","Australia","Flexible","Gap year / exploration","Low","Active. wwoofaustralia.com operational. Unverified 2026 fee — check wwoofaustralia.com directly.","https://wwoofaustralia.com"
"Hostel Work Exchange / Karma Worker","Many independent hostels worldwide (and some through Worldpackers/Workaway) offer a 'karma worker' or 'volunteer' arrangement: 15–25 hrs/week of reception, cleaning, or activity-hosting work in exchange for a free dorm bed. Not a centralized program — negotiate directly with individual hostels.","NET NEUTRAL","No platform fee if arranged directly. No cash exchanged: bed provided, meals typically not included (hostel kitchen access often given). Use Worldpackers ($59/yr) or Workaway ($69/yr) to find vetted hostel listings, or contact hostels directly for free. Flights own cost. A US-based hostel work exchange can be truly cost-neutral if local.","Via Worldpackers or Workaway affiliate programs if used as the search platform (see those rows).","Worldwide; also USA domestic (limited)","Weeks to months","Gap year / exploration","Low","Active. Arrangements negotiated directly. Safeguarding risk: unvetted direct arrangements — use a platform with reviews.","https://www.worldpackers.com (for vetted listings)"
"Yoga / Permaculture Ashram Karma Yoga","Many yoga centers, permaculture farms, and ashrams worldwide accept karma yoga volunteers who work 4–6 hrs/day in the community in exchange for accommodation and meals, plus free access to classes. Examples: Kripalu (MA), Esalen (CA), various permaculture centers.","NET NEUTRAL","Varies by center. Many US ashrams and retreat centers offer free board + free classes in exchange for 4–5 hrs/day kitchen, garden, or housekeeping work. Some charge a nominal program fee. Externally arranged; use Worldpackers, Workaway, or direct center contact to find 2026 openings.","Via Worldpackers or Workaway affiliate programs if used as search platform.","USA and worldwide","2 weeks to 3 months typical","Gap year / wellness","Low-moderate","Active. Specific listings vary — search permacultureglobal.com or the work-exchange platforms.","https://permacultureglobal.org"
"Crewseekers (UK-based, global)","UK-based boat and crew matching platform, similar to Findacrew. Crew offer sailing labor in exchange for a berth. Primarily recreational passages, deliveries, and blue-water cruising. Established alternative to Findacrew with focus on European and Atlantic routes.","NET NEUTRAL","Annual membership fee: unverified exact 2026 amount (historically £50–70/year for crew). Berth is free in true work-exchange positions; some skippers ask crew to share provisions costs. Flights own cost.","None publicly documented.","Worldwide (UK-originated, strong European / Atlantic coverage)","Days to months per passage","Gap year / adventure","Moderate","Active. crewseekers.net operational. Fee unverified — check crewseekers.net directly for 2026 pricing.","https://www.crewseekers.net"
"Concordia International Volunteer Projects (UK)","UK-based international workcamp coordinator, part of the Coordinating Committee for International Voluntary Service (CCIVS). Places volunteers in 2–3 week community workcamps in Europe, Americas, Africa, Asia. Accommodation and meals included.","YOU PAY","Registration fee: approximately £250–£300 (unverified exact 2026 UK fee; note US applicants typically coordinate via SCI-IVS USA or VFP, not directly through Concordia). Flights not included. All-in from USA: $1,000+. Classify as YOU PAY. Note: Concordia is UK-headquartered; US participants often access equivalent camps via SCI or VFP.","None.","Europe, Americas, Africa, Asia","2–3 weeks per workcamp","Gap year / short immersion","Low-moderate","Active. concordia-iye.org.uk operational.","https://www.concordia-iye.org.uk"
"ATTRA / NCAT Sustainable Agriculture Internship Listings","Not a program itself — ATTRA (National Sustainable Agriculture Information Service), operated by NCAT, maintains a searchable database of farm internships and apprenticeships across the USA. Most listed positions offer housing; many offer stipends. A free aggregator for finding paid or housing-included farm placements.","YOU GET PAID","Using ATTRA is free. Individual listed positions vary — many include housing plus stipend ($200–$1,500/month range). Participant pays transport to farm. Browse at ncat.org/internship.","None.","USA-wide (hundreds of listings)","Varies by position (weeks to full season)","Gap year / career entry","Varies by individual farm","Active. ncat.org/internship confirmed May 2026 updated listings.","https://www.ncat.org/internship"
"CIEE Gap Year Abroad – High School / Teen Programs","CIEE (nonprofit study abroad org) offers gap year programs for recent high school graduates: multi-destination tours (Europe, Latin America), language and culture immersion, homestays, and optional ASU college credit online. Ages 18+ post-grad.","YOU PAY","12-week programs: $17,500 (e.g., Europe Tour: Spain-Italy-France). Average CIEE semester abroad: $19,850 (Europe $20,950; Latin America $17,950). Fees include housing, orientation, activities, iNext travel insurance, 24/7 support. Meals and flights NOT included. All-in semester estimate: $20,000–$24,000.","CIEE is a nonprofit. CIEE pays institutional agents in the study-abroad market; industry standard is 10–15% of program fee. CIEE has historically maintained a school partner and agent commission structure for college study-abroad. Specific gap-year rate unverified. Mark: practice exists, rate private (sector norm applies).","Europe (Madrid, Rome, Paris, Barcelona, Seville, etc.), Latin America (Costa Rica, Chile, etc.)","12 weeks (semester) or multi-block","Post-high school gap year, ages 18+","Application required; rolling admissions; no minimum GPA stated for gap programs","ACTIVE – Fall 2026 programs listed with specific dates; CIEE Fall 2026 fee worksheet published January 2026","https://www.ciee.org/go-abroad/high-school-study-abroad/gap-year/programs/spain/madrid/europe-tour"
"NOLS – Semester in East Africa","NOLS (National Outdoor Leadership School) flagship international semester: 75 days in Tanzania (Ngorongoro, Kilimanjaro, Maasai communities, wildlife). Wilderness skills, leadership, and Leave No Trace training. 16 college credits available. Ages 18+.","YOU PAY","Tuition: $17,870 (Sep 13–Nov 26, 2026 session). Equipment deposit: $500 (refundable). International flights to Kilimanjaro International Airport (JRO) NOT included (~$1,200–$2,000). Travel insurance recommended (~$200–$400). All-in estimate: $19,770–$20,770. NOTE: NOLS tuition does not include meals beyond field rations already factored into tuition.","NOLS does NOT pay counselor or IEC commissions. NOLS is a well-known ethics-first operator that explicitly states it does not pay referral fees. Accepts AmeriCorps education awards and 529 plans. Mark: NO COMMISSION PAID – publicly known NOLS policy.","Tanzania, East Africa (Arusha base; field travel to Kilimanjaro, Ngorongoro)","75 days (~11 weeks)","Gap year / young adult, ages 18+","Application required; rolling admissions; no stated minimum GPA but must meet Essential Eligibility Criteria","ACTIVE – Fall 2026 session confirmed with live pricing on NOLS website","https://www.nols.edu/course/exp/semester-in-east-africa-sat/session/768389_13-sep-2026_nols_arusha-tanzania-united-republic-of_split1_tuition-65/"
"NOLS – Fall Semester in the Rockies","NOLS domestic semester in western US: 74 days of canyoneering, canoeing, rock climbing, and winter skills across Wyoming. Certifications: Wilderness First Aid, CPR, LNT Level 1. 16 college credits. Ages 17+.","YOU PAY","Tuition: $15,630 (Oct 1–Dec 13, 2026). Equipment deposit: $1,000 (refundable). Fly into Riverton, WY (RIW); domestic flights not included (~$200–$600). All-in estimate: $16,830–$17,230.","Same as all NOLS programs: NO COMMISSION PAID. NOLS does not pay IEC or counselor referral fees. Mark: explicit no-commission policy.","Lander, WY and western US (canyons, mountains)","74 days (~11 weeks)","Gap year / young adult, ages 17+","Application required; rolling admissions","ACTIVE – Fall 2026 session live on NOLS website with pricing","https://www.nols.edu/course/exp/fall-semester-in-the-rockies-fsr/session/768493_01-oct-2026_nols_lander-wy-united-states_split_tuition-65/"
"NOLS Wilderness First Responder (WFR)","NOLS Wilderness Medicine 9–10 day WFR certification course; industry-standard credential for outdoor professionals, guides, trip leaders, and wilderness expeditions. Trains 300,000+ students to date. Earns CPR, WFR, and epinephrine auto-injector certification. 3 college credits available.","YOU PAY","Tuition: $925 (base, no lodging) to $1,150 (with lodging). Optional 3 college credits through University of Utah ($300) or Western Colorado University ($495). All-in with lodging and credit: ~$1,450–$1,650. No international travel costs.","NOLS does NOT pay counselor or IEC referral fees. Same explicit no-commission policy as all NOLS products. Mark: NO COMMISSION PAID.","Multiple US locations (Cullowhee NC, Flagstaff AZ, and others via certified partner providers)","9–10 days (80 hours)","Pre-career / gap year career certification, ages 16+","Open enrollment; rolling registration","ACTIVE – Multiple 2026 sessions listed on NOLS website","https://www.nols.edu/course/wm/wilderness-first-responder-wfr/"
"SEA Semester / Sea Education Association","Accredited college-credit program (operated since 1971) combining shore-based and ocean-based study aboard tall ships. Programs in Atlantic, Pacific, and Caribbean; students earn 17 college credits from accreditation by NEASC/NECHE. Popular pre-gap-year or post-bacc option.","YOU PAY","Tuition approximately $21,000–$24,000 per semester (12 weeks; includes ship berth, food, academic coursework, and research). Flights to departure port not included. All-in estimate: $22,500–$26,000. NOTE: price unverified at SEA's own 2026 page – check sea.edu.","No public IEC or counselor commission program found. Academic/institutional referrals via financial aid transfer. Mark: unverified – likely no published consumer-facing commission structure given nonprofit academic status.","Atlantic, Pacific, Caribbean (varies by program)","12 weeks (semester)","Gap year or college-level, ages 17+","Selective; application required; academic preparation expected","ACTIVE – sea.edu lists 2026–27 programs; verify specific voyage availability","https://www.sea.edu/programs"
"Semester at Sea – Fall 2026 Voyage","Accredited floating university operated aboard a ship; students travel to 10+ countries in one semester earning 12–15 college credits via Colorado State University. Visits Europe, South America, Africa, and Asia in Fall 2026.","YOU PAY","Standard cabins: $34,900 (includes tuition, housing, meals, academic field classes, internet starter package, travel health insurance, fuel fee). Premium cabins: $39,900. Does NOT include flights to/from embarkation port (~$500–$2,000 depending on home city), visa fees (~$0–$500), and personal spending (on-shore excursions). All-in standard estimate: $36,900–$39,400.","Semester at Sea has a formal institutional partner program and works with IECs; partner commission structure exists but is not published publicly on the website. Sector norm for accredited study-abroad: 10–15% of program fee paid to referring agents. Mark: practice exists, rate private.","Ship-based; Fall 2026 visits Europe, South America, Africa, Asia (10+ countries)","~100+ days (semester)","College-level / gap year post-high school, ages 18+","Selective; application required; academic standing required","ACTIVE – Fall 2026 voyage pricing confirmed at $34,900–$39,900 on semesteratsea.org","https://www.semesteratsea.org/voyages/fall-2026/fees/"
"Alzar School – Gap Program","Small-group, Idaho-based gap semester at Alzar School: whitewater kayaking and rafting instruction, outdoor leadership, academic curriculum, exchange to Patagonia. Holistic outdoor education with professional instruction. Gap-specific program separate from high school semester.","YOU PAY","Tuition + room and board: $39,000 (2026–27 rate per official website). International flight and student expense account: $3,000. Total all-in as published: $42,000. Insurance also required (included in tuition). Note: one of the most expensive per-semester programs in this sector.","No public IEC or counselor commission program found. Alzar is a small, specialized operator; sector norm (10–15% band) may apply informally. Mark: practice likely private, rate unverified.","Idaho (US base) + Patagonia exchange (Chile)","Semester (~4 months)","Post-high school gap year","Selective; application required; outdoor skill interest/experience preferred","ACTIVE – 2026–27 tuition published on alzar.org as of research date","https://alzar.org/tuition-financial-aid/"
"Global Vision International (GVI)","UK-headquartered voluntourism operator running 20+ wildlife and marine conservation stations worldwide (Peru, South Africa, Seychelles, Costa Rica, etc.). Offered internships and volunteer placements in conservation, education, and community development.","YOU PAY","Fees ranged approximately £2,000–£10,000+ per placement (£4,557 paid by one documented student for South Africa; £10,000 for game reserve apprenticeship). USD equivalent roughly $2,500–$13,000. No refunds issued at collapse.","No referral program relevant – company is in liquidation. Previously operated with standard voluntourism agent/referral network. No public commission rates published.","Peru, South Africa, Seychelles, Costa Rica, and 20+ other sites worldwide","Weeks to months (varies by placement)","Post-high school / university gap year","Open enrollment (paid placement)","COLLAPSED – Entered liquidation June 30–July 1, 2026. All programs cancelled, no refunds issued. Website taken offline. Original entity also went into voluntary liquidation September 2025. DO NOT BOOK. Liquidators: RG Insolvency.","https://www.crbcnews.com/articles/6a5b657635dbea4252e4ad8c"
"IVHQ – International Volunteer HQ","Self-described 'world's largest' affordable volunteer abroad platform. Fully hosted programs in 50+ destinations; teaches English, childcare, healthcare support, wildlife conservation, building projects. Registration fee + per-destination program fee model.","YOU PAY","Registration fee: US$329 (covers pre-departure support). Program fee: varies by destination and duration; starts from approx. AU$29/day ($~18 USD/day) for some programs. Example: 2 weeks in Costa Rica ~$350–$700 program fee + $329 registration = $679–$1,029. Longer programs ~$1,000–$3,000 total for 4–8 weeks. International flights and insurance NOT included and are participant's responsibility.","IVHQ operates an affiliate/referral program for bloggers, travel influencers, and educational counselors. Published affiliate commission rates are in the range of 5–10% of program fee per conversion (unverified specific rate – check ivhq.com/affiliate). Mark: affiliate program confirmed to exist; specific rate unverified.","50+ countries across Africa, Asia, Latin America, and Pacific","1–24 weeks (flexible)","Gap year / post-secondary, ages 18+","Open enrollment; background check required for some programs","ACTIVE – Website operational; programs listed","https://www.volunteerhq.org"
"Projects Abroad – Gap Programs","UK-founded (1992) international volunteering and internship provider operating in 26 countries. Gap programs for ages 17–24; structured volunteer placements in teaching, healthcare, conservation, and construction. Operates to BS 8848 adventure travel standard. 140,000+ alumni.","YOU PAY","Program fees vary widely by destination and duration. Short-term (2 weeks) example: approximately $2,000–$3,000 (Africa/Asia). Longer gap placements (3–6 months): $6,000–$15,000+. International flights NOT included. All-in estimate for 1-month gap placement: $3,500–$5,000. NOTE: Mark as 'unverified 2026 exact price' – confirm at projectsabroad.org.","Projects Abroad operates a school/educator partner program and referral network; commission structure exists but rates are not published publicly. Sector norm: 10–15% of program fee for agent/counselor referrals. Mark: practice exists, rate private.","26 countries across Africa, Asia, Europe, Latin America, South Pacific","2 weeks to 6+ months (flexible)","Gap year / young adult, ages 17–24","Open enrollment with application; some structured programs more selective","ACTIVE – Website active; 200+ programs listed; BS 8848 compliant","https://www.projectsabroad.org/volunteer-programs/costs-and-fees/"
"Greenhorns Network / Beginning Farmer Resource","Non-profit media and networking organization supporting beginning farmers. Publishes the Guide to Beginning Farming, lists farm internships and apprenticeships, and maintains a directory of farm-based learning opportunities. A free resource aggregator, not a placement program itself.","NET NEUTRAL","Using Greenhorns is free. Individual listed positions vary widely — many are paid or room-and-board exchange. Greenhorns does not charge participants. Participant pays travel to farm.","None.","USA-wide (primarily northeast/west coast)","Varies by listed opportunity","Gap year / career entry","Varies by farm","Active. thegreenhorns.net operational.","https://www.thegreenhorns.net"
"Iona Community (Scotland)","Ecumenical Christian community based on the Isle of Iona, Scotland. Iona Abbey and MacLeod Centre welcome residential volunteers ('volunteers') who work with the island staff in hospitality, cooking, housekeeping in exchange for accommodation, meals, and community life. Seasonal program.","NET NEUTRAL","Accommodation and meals provided to resident volunteers. Exact pocket money/stipend: unverified — historically volunteers received a small weekly allowance. Flights from USA to Scotland: $600–$1,000+. Application required. All-in first year: significant travel cost.","None.","Isle of Iona, Scotland, UK","3–6 months seasonal (spring–autumn)","Gap year / spiritual","Moderate — application required","Active. iona.org.uk operational.","https://iona.org.uk"
"Upaya Zen Center (New Mexico)","Rinzai Zen Buddhist practice center in Santa Fe, NM. Offers resident practitioner positions ('work practice residents') who live in community, participate in Zen training, and contribute 5 hrs/day of work (cooking, admin, garden) in exchange for accommodation, meals, and dharma study.","NET NEUTRAL","Room and board provided. Work residents may pay a nominal program fee (unverified exact 2026 amount — historically Upaya charges a modest monthly contribution). Domestic travel within USA — lower cost barrier than international programs.","None.","Santa Fe, New Mexico, USA","Minimum 3 months; up to 1 year","Gap year / contemplative","Moderate — application and interview required","Active. upaya.org operational.","https://www.upaya.org"
"Ski / Mountain Resort Seasonal Housing Exchange","Many ski resorts and mountain lodges offer 'ski-bum' employment packages where seasonal workers receive subsidized or included employee housing in exchange for season-long commitment. Not a pure work-exchange — workers are paid employees — but housing is dramatically subsidized or free.","YOU GET PAID","Workers are paid minimum wage or above. Housing: many resorts (Vail, Telluride, Jackson Hole, Alta, etc.) offer employee housing at zero or very low cost in exchange for employment commitment. Housing quality varies from dorms to shared units. Worker must arrange travel to resort.","None centralized.","USA (CO, UT, WY, VT, CA mountain resorts) and abroad","Full season: November–April approximately","Gap year / seasonal employment","Low-moderate — standard employment hiring","Active. Hire for 2026–27 season typically begins September–October 2026.","https://www.vailresortsjobs.com (example)"
"Eco-Lodge / Permaculture Farm Volunteer (via Permaculture Global)","Eco-lodges, permaculture farms, and intentional communities worldwide list volunteer positions on Permaculture Global (permacultureglobal.org) and similar platforms. Workers contribute farm, construction, or hospitality labor in exchange for accommodation and meals. Hundreds of listings globally.","NET NEUTRAL","Permaculture Global listing is free to browse. Individual hosts set terms — most offer accommodation and meals; some offer pocket money. No platform membership fee. Flights own cost.","None.","Worldwide; many USA listings","2 weeks to 3 months typical","Gap year / ecological","Low-moderate","Active. permacultureglobal.org operational.","https://permacultureglobal.org/projects"
"WWOOF Canada","Canadian national WWOOF organization. Same farm-labor-for-room-and-board model. Canada is accessible to US citizens without a visa for short stays.","NET NEUTRAL","Membership fee: CAD $59/year individual (~$37 USD equivalent, per help.wwoof.net March 2026 fee table which lists Canada at CAD $59 individual / CAD $89 dual). US citizens can WWOOF in Canada visa-free for tourist stays. Ground transport only from US — lowest barrier international WWOOF option. Net-neutral for domestic US-to-Canada trip by bus or car.","None.","Canada (farms nationwide)","Flexible","Gap year / exploration","Low","Active. wwoofcanada.org.","https://wwoofcanada.org"
"IJGD (Germany) / UNA Exchange (UK) — Workcamp coalitions","IJGD (Internationale Jugendgemeinschaftsdienste) is a major German workcamp organization with international volunteer opportunities. UNA Exchange is the UK workcamp coordinator, part of the global CCIVS network alongside SCI. Both place volunteers in 2–3 week workcamps with accommodation and meals included.","YOU PAY","IJGD: typically €100–€200 registration fee per workcamp (unverified 2026 exact rate; US participants typically apply via SCI or VFP as a sending organization). UNA Exchange: similar UK-centered fees. Flights USA–Europe: $600–$1,200. All-in from USA: $800–$1,500+. Classify as YOU PAY.","None.","Germany (IJGD); UK and international (UNA Exchange)","2–3 weeks per workcamp","Gap year / short immersion","Low-moderate","Active. ijgd.de and una-exchange.org operational.","https://www.ijgd.de"
"Workaway (USA domestic hosts)","While Workaway is a global platform, many US-based hosts list positions — farms, hostels, family homesteads, eco-projects. A US participant on a US host placement can achieve a truly cost-neutral gap experience with just the $69 platform fee and domestic travel.","NET NEUTRAL","$69/year membership (confirmed). Domestic travel cost only for US placements. Truly net-neutral if you drive to a nearby host. No flights needed. Platform fee is the only reliable cost.","See main Workaway row: refer 3 friends for free membership extension; 8 referrals triggers formal affiliate with monthly PayPal commission.","USA domestic (also worldwide)","Weeks to months","Gap year / exploration","Low","Active.","https://www.workaway.info/en/search#usa"
"Meddeas (Spain private school language assistant)","Private organization placing native English speakers as language assistants in private and semi-private Spanish schools. Does not require a degree or teaching experience. Pays a monthly grant and provides a student visa sponsorship. Different from government NALCAP — Meddeas works with private schools.","YOU GET PAID","Monthly grant EUR 700–1,000/mo depending on school and hours. Meddeas charges applicants a program fee of approximately EUR 400–600 (varies by program). No housing provided. Visa fees additional (~EUR 160). Net positive over 9-month placement but program fee is a real upfront cost.","Meddeas has an affiliate referral program for bloggers and study abroad advisors. Published rate: EUR 50–150 per successfully placed referral (contact Meddeas partner page for current rates). Schools pay Meddeas a placement/management fee (unpublished).","Spain (Madrid, Barcelona, Andalucia, and other regions; private/concerted schools)","9 months (October–June)","Age 21–35. No degree required. US citizenship.","Low-Moderate — rolling admissions; Meddeas accepts several hundred US participants/year","OPEN to US citizens. EUR 400–600 program fee required. Bachelor's preferred but not mandatory.","https://www.meddeas.com"
"Yacht Crew / Junior Steward(ess) — Antibes/Fort Lauderdale","Entry-level superyacht interior crew (steward/stewardess) work. No yachting experience required but STCW Basic Safety Training certification is mandatory before working. US citizens work on international-flagged yachts in the Med (Antibes, Monaco) or Caribbean/Florida (Fort Lauderdale). Dock walking and crew agencies (Meridian, Luxury Yacht Group) to find first jobs.","YOU GET PAID","Junior steward/ess: USD $2,200–3,300/mo + tips (charter yachts tip significantly — $500–2,000+ additional/charter). STCW course cost: USD $900–1,400 (1-week in-person). Stewardess training bundle (IAMI GUEST + STCW): USD $1,500–2,500. Gratuities not guaranteed on private yachts. Housing typically provided onboard. Net positive from month 1 after training cost recouped.","Crew agencies (Meridian, YPI Crew, Luxury Yacht Group) charge boats owner-side placement fees (1 month's salary per placed crew, approx. USD $2,200–3,300 per junior stew). No participant-facing fee from reputable agencies. Training schools (Galileo Maritime Academy, Maritime Professional Training Fort Lauderdale) run affiliate programs — typically 10–15% of course fee (~USD $150–250/referral).","Antibes, France (Med season April–Oct); Fort Lauderdale / Caribbean (Nov–Apr)","Seasonal (6–12 months); rotational contracts on larger yachts","Age 18+. No degree needed. STCW certification required before first paid position.","Low-Moderate — entry-level positions are competitive in Antibes (dock-walk season March–May). Fort Lauderdale slightly more accessible.","OPEN to US citizens. US-flagged yachts hire directly; international-flagged yachts may require Schengen visa planning (B-1/B-2 covers initial dock walk in Antibes).","https://galileomaritimeacademy.com/course/steward-ess-training/"
"CIEE Teach Abroad (Thailand, Spain, South Korea)","Private non-profit operator offering structured paid teaching placements in Thailand, Spain, South Korea, and other countries. Bundles visa support, in-country orientation, and job placement. Different from government programs — CIEE charges program fees but handles bureaucracy.","YOU PAY","Program fee: USD $1,300–2,500 upfront depending on country. Stipend varies: Thailand USD $600–900/mo, Spain EUR 700–1,000/mo, South Korea USD $1,600–2,200/mo. Net over a year: Korea is net positive by USD $10,000+ (YOU GET PAID in year 1); Thailand is approximately breakeven or slightly negative in year 1 after program fee and flights (YOU PAY in year 1). Money Direction set to YOU PAY to reflect the mandatory upfront program fee present in all placements; Korea participants should expect net positive once that fee is recouped.","CIEE runs an affiliate program for education consultants and bloggers. Published commission: 5–10% of program fee per referred enrollee (~USD $65–250/referral). Recruiters also earn employer-side commissions in Korea (1 month salary) paid by school partners.","Thailand (Bangkok, Chiang Mai), Spain, South Korea, and other countries","4–12 months depending on program","Age 18+. Bachelor's degree required for most placements. US citizenship.","Low — rolling admissions; CIEE places several thousand participants/year","OPEN to US citizens. Program fee required. Thailand: YOU PAY in year 1 if factoring program fee + flights. Korea: YOU GET PAID even in year 1.","https://www.ciee.org/go-abroad/high-school-study-abroad/teach"
"Australia Ski Resort Seasonal Work (via subclass 462)","US citizens on the Australia Work and Holiday Visa (462) can work in ski resort towns (Perisher, Thredbo, Falls Creek, Mt. Buller) during the Australian winter season (June–September). Hospitality, lift operation, ski hire, childcare roles available. No separate program — uses the 462 visa.","YOU GET PAID","Australian minimum wage AUD $24.10/hr (2026). Hospitality and ski resort staff typically AUD $27–32/hr including casual loading. Accommodation often provided by resort employers at subsidized rates (AUD $150–300/wk deducted). Net savings over 4-month season: AUD $8,000–16,000 depending on role and accommodation arrangement. Plus 462 visa fee AUD $840 upfront.","Ski resort companies (Vail Resorts managing Perisher, Thredbo Resorts) recruit directly. No formal affiliate program. Working holiday job boards (e.g. Seek, Gumtree) no recruiter fee for seasonal roles.","Australia (Snowy Mountains, NSW; Victoria ski resorts)","4 months (June–September) as part of 12-month 462 visa","Age 18–30. Requires 462 visa (tertiary education evidence). Apply Feb–April for June start.","Low-Moderate — high demand; accommodation packages fill fast","OPEN via Australia Work and Holiday Visa (subclass 462). US citizens eligible.","https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/work-holiday-462"
"New Zealand Farm and Hospitality Work (WHV)","US citizens on the New Zealand Working Holiday Visa can work in hospitality, agriculture (fruit picking in Hawke's Bay, Marlborough, Central Otago), and adventure tourism. Regional work for 3 months in horticulture/viticulture earns a 3-month visa extension.","YOU GET PAID","NZD $23.15/hr minimum wage (2026). Fruit picking (piece rate) may earn NZD $18–28/hr. Hospitality in Queenstown/Wanaka typically NZD $23–30/hr. Seasonal accommodation NZD $150–300/wk. Net savings over 12 months (with extension): NZD $12,000–25,000. NZD $770 + $100 IVL visa fee upfront.","Seasonal employers (vineyards, orchards) recruit directly via SeasonalWork.govt.nz. No recruiter fee for working holiday visa holders. Hospo/tourism recruitment agencies charge employers 10–15% of first year salary (unpublished).","New Zealand (Hawke's Bay, Marlborough, Otago, Queenstown, Auckland)","12 months + 3-month extension via seasonal work","Age 18–30. No degree required for the visa itself.","Low — US scheme uncapped; entry-level hospitality and farm work widely available","OPEN to US citizens via NZ Working Holiday Visa. Uncapped.","https://www.immigration.govt.nz/work/working-holiday-visas/"
"Essential TEFL Bangkok (Thailand teaching with TEFL certification)","Bangkok's only in-person TEFL course (120 hours) with guaranteed job placement at Thai private schools through Essential Educational Staffing, Thailand's largest teacher recruitment agency. US citizens enter on a tourist visa then convert to Non-B work visa. Course price includes placement support.","YOU PAY","Course fee: 45,000 THB (~USD $1,300). Thailand entry-level teacher salary: THB 35,000–45,000/mo (~USD $1,000–1,300) at Bangkok private schools. Year 1: approximately breakeven or slightly negative after course fee, flights (~USD $1,200), and initial costs. Year 2+ significantly positive.","Essential TEFL affiliate program pays USD $270/referred enrollee (highest in the TEFL affiliate market). Published rate on their affiliate portal. Essential Educational Staffing charges schools approximately 1 month's salary placement fee (unpublished to teachers).","Thailand (Bangkok)","4-week TEFL course then 1-year teaching contract","Age 18+. Bachelor's degree required for Thai Non-B work visa. US citizenship.","Low — rolling intake; placement guaranteed through agency","OPEN to US citizens. Requires Non-B work visa (employer-sponsored). USD $1,300 course fee. Classed as YOU PAY in year 1.","https://www.essentialtefl.com/tefl-affiliates"
"Vietnam Private Language School Teaching","Vietnam's private English language school (EFL) market is one of the largest in Asia. US citizens enter on a tourist visa then convert to work permit. No formal government placement program — direct hiring by language centers (ILA Vietnam, Apax English, VUS, Wall Street English). No special WHV exists for US citizens.","YOU GET PAID","Salary: USD $1,400 2,200/mo at established chain language centers. $1,600–2,500/mo at university positions. Some centers pay per hour: USD $18–25/hr. Housing not typically provided. Work permit and residence card costs: approximately USD $150–300 paid by employer. TEFL cert strongly preferred (cost: USD $400–1,000 online).","Recruiter placement fee: approximately 1 month's salary charged to the hiring school (unpublished to teachers). TEFL course providers heavily target Vietnam with affiliate programs ($20–270/referral). Schools list on Dave's ESL Cafe and TES (no recruiter fee to teachers).","Vietnam (Ho Chi Minh City, Hanoi primarily)","1-year contract typical; rolling renewals","Age 18+. Bachelor's degree required for work permit. US citizenship. TEFL strongly preferred.","Low — high demand for native English speakers; many vacancies year-round","OPEN to US citizens. Must secure work permit (employer-sponsored). No WHV exists. High-volume market.","Unverified (no single official government source; based on aggregated employer market data)"
"South Korea Private Hagwon Teaching (E-2 Visa)","South Korea's private English academy (hagwon) market is large and constantly hiring native English speakers from 7 eligible countries including USA. Employer-sponsored E-2 teaching visa. Different from EPIK (government schools) — hagwons are private academies often paying more.","YOU GET PAID","Salary: KRW 2,000,000–3,000,000/mo (~USD $1,480 2,220) at entry-level. Top hagwons in Seoul/Busan: KRW 2,500,000 3,200,000. Housing provided free. Health insurance (employer pays 50%). Completion bonus (~1 month salary). Flight to Korea often reimbursed on completion. Net highly positive.","Recruiter placement fee: approximately 1 month's salary (~KRW 2,000,000 3,000,000) charged to hagwon by recruiter (unpublished to teachers). Major recruiters: Korvia, Reach to Teach, Footprint Recruiting. Korvia has published affiliate program for bloggers (contact for rates).","South Korea (Seoul, Busan, Incheon, provincial cities)","1 year, renewable","Age 18+. Bachelor's degree required. US citizenship. TEFL preferred but not always required.","Low — constantly hiring; hundreds of vacancies year-round via recruiters","OPEN to US citizens. E-2 visa employer-sponsored. Bachelor's degree required.","https://www.hikorea.go.kr"
"Portugal Working Holiday (WHV) — US Eligibility Status","Portugal's working holiday program is listed in multiple sources as including the US. This is UNVERIFIED for 2026. Portugal has WHV agreements with several non-EU countries (Australia, NZ, Canada, Brazil, Argentina) but US eligibility is not confirmed on Portuguese government immigration pages.","NET NEUTRAL","Unverified. If eligible: Portuguese minimum wage EUR 1,020/mo (2026). Typical working holiday jobs: hospitality, tourism, farm work in Alentejo.","N/A (unverified eligibility)","Portugal","12 months if eligible","Age 18–30 if applicable","Unverified","UNVERIFIED. US eligibility for Portugal WHV is not confirmed on Portuguese immigration authority (SEF/AIMA) official sources as of August 2026. Do not assume open without direct verification.","https://imigrante.sef.pt (no US-specific WHV found on official site)"
